normalized_title,Amazon,Flipkart,Comparison,representative_title
amazon basics luxury paper thin case cover for samsung galaxy s25 5g matte finish compatible with magsafe white sa,289.0,,Incomplete data,"amazon basics Luxury Paper Thin Case Cover for Samsung Galaxy S25 5G | Matte Finish | Compatible with magsafe | (White, Sa..."
samsung galaxy s25 5g icyblue 256 gb,,80999.0,Incomplete data,"Samsung Galaxy S25 5G (Icyblue, 256 GB)"
samsung galaxy s25 5g icyblue 512 gb,,92999.0,Incomplete data,"Samsung Galaxy S25 5G (Icyblue, 512 GB)"
samsung galaxy s25 5g mint 256 gb,,80999.0,Incomplete data,"Samsung Galaxy S25 5G (Mint, 256 GB)"
samsung galaxy s25 5g mint 512 gb,,92999.0,Incomplete data,"Samsung Galaxy S25 5G (Mint, 512 GB)"
samsung galaxy s25 5g navy 256 gb,,80999.0,Incomplete data,"Samsung Galaxy S25 5G (Navy, 256 GB)"
samsung galaxy s25 5g navy 512 gb,,92999.0,Incomplete data,"Samsung Galaxy S25 5G (Navy, 512 GB)"
samsung galaxy s25 5g silver shadow 256 gb,,80999.0,Incomplete data,"Samsung Galaxy S25 5G (Silver Shadow, 256 GB)"
samsung galaxy s25 5g silver shadow 512 gb,,92999.0,Incomplete data,"Samsung Galaxy S25 5G (Silver Shadow, 512 GB)"
samsung galaxy s25 5g smartphone with galaxy ai icyblue 12gb ram 256gb storage snapdragon 8 elite 50 mp camera with,80999.0,,Incomplete data,"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Icyblue, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with ..."
samsung galaxy s25 5g smartphone with galaxy ai icyblue 12gb ram 512gb storage snapdragon 8 elite 50 mp camera with,92999.0,,Incomplete data,"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Icyblue, 12GB RAM, 512GB Storage), Snapdragon 8 Elite, 50 MP Camera with ..."
samsung galaxy s25 5g smartphone with galaxy ai mint 12gb ram 256gb storage snapdragon 8 elite 50 mp camera with pro,80999.0,,Incomplete data,"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Mint, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with Pro..."
samsung galaxy s25 5g smartphone with galaxy ai navy 12gb ram 256gb storage snapdragon 8 elite 50 mp camera with pro,80999.0,,Incomplete data,"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Navy, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with Pro..."
samsung galaxy s25 5g smartphone with galaxy ai silver shadow 12gb ram 256gb storage snapdragon 8 elite 50 mp camera,80999.0,,Incomplete data,"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera..."
samsung galaxy s25 edge 5g titanium jetblack 256 gb,,89999.0,Incomplete data,"Samsung Galaxy S25 Edge 5G (Titanium Jetblack, 256 GB)"
samsung galaxy s25 fe 5g smartphone with galaxy ai jetblack 8gb ram 512gb storage 12mp front camera provisual engin,65999.0,,Incomplete data,"Samsung Galaxy S25 FE 5G Smartphone with Galaxy AI (JetBlack, 8GB RAM, 512GB Storage), 12MP Front Camera, ProVisual Engin..."
samsung galaxy s25 fe 5g smartphone with galaxy ai white 8gb ram 512gb storage 12mp front camera provisual engine l,65999.0,,Incomplete data,"Samsung Galaxy S25 FE 5G Smartphone with Galaxy AI (White, 8GB RAM, 512GB Storage), 12MP Front Camera, ProVisual Engine, L..."
samsung galaxy s25 ultra 5g smartphone with galaxy ai titanium silverblue 12gb ram 512gb storage titanium frame snap,141999.0,,Incomplete data,"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Silverblue, 12GB RAM, 512GB Storage), Titanium Frame, Snap..."
samsung galaxy s25 ultra 5g smartphone with galaxy ai titanium whitesilver 12gb ram 512gb storage titanium frame sna,141999.0,,Incomplete data,"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Whitesilver, 12GB RAM, 512GB Storage), Titanium Frame, Sna..."
samsung galaxy s25 ultra 5g titanium black 256 gb,,110990.0,Incomplete data,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 256 GB)"
