title,price,rating,url,platform,timestamp
Fossil Stainless Steel Fenmore Analog Black Dial Men's Watch-Bq2365,9421.0,4.2,https://www.amazon.in/Fossil-Fenmore-Midsize-Multifunction-Stainless/dp/B07T3GZB3R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-5,Amazon,2025-11-03 21:09:09
Fossil Analog Black Dial Men's Watch-CH2885,8045.0,4.2,https://www.amazon.in/Fossil-Decker-Chronograph-Black-Watch-CH2885/dp/B00EVZ83J0/ref=sr_1_6?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-6,Amazon,2025-11-03 21:09:09
"Fossil Leather Chronograph Black Dial Men's Watch-Ch2891, Band Color:Brown",8121.0,4.3,https://www.amazon.in/Fossil-Chronograph-Black-Dial-Watch-CH2891/dp/B00DUCIMCI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-7,Amazon,2025-11-03 21:09:09
Fossil Analog Black Dial Men's Watch - Fs5437 - Leather,12994.0,4.2,https://www.amazon.in/Fossil-Analog-Black-Dial-Watch-FS5437/dp/B079D9VSZD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-8,Amazon,2025-11-03 21:09:09
Fossil Chronograph Black Dial and Band Men's Stainless Steel Watch-BQ2364,8121.0,4.2,https://www.amazon.in/Fossil-Fenmore-Multifunction-Black-BQ2364/dp/B07R4P572S/ref=sr_1_9?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-9,Amazon,2025-11-03 21:09:09
"Fossil Stainless Steel Luther Analog Black Dial Men's Watch-Bq2328, Band Color:Silver",7827.0,4.2,https://www.amazon.in/Fossil-Luther-Analog-Black-Watch-BQ2328/dp/B09B42WB9D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-10,Amazon,2025-11-03 21:09:09
"Fossil Men Leather Townsman Analog Black Dial Watch-Me3155, Brown, Free Size, Band Color-Brown",19994.0,4.2,https://www.amazon.in/Fossil-Analog-Black-Dial-Watch-ME3155/dp/B076B2MR5B/ref=sr_1_11?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-11,Amazon,2025-11-03 21:09:09
Fossil Analog Black Dial Men's Watch-FS6101,13495.0,4.6,https://www.amazon.in/Fossil-Analog-Black-Dial-Watch-FS6101/dp/B0DSBS578N/ref=sr_1_12?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-12,Amazon,2025-11-03 21:09:09
Fossil Nate Chronograph Analog Black Dial Grey Band Men's Watch,15995.0,4.0,https://www.amazon.in/Fossil-Nate-Chronograph-Black-Watch-JR1401/dp/B008AXYWHQ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-13,Amazon,2025-11-03 21:09:09
Fossil Analog Off-White Dial Brown Band Men's Stainless Steel Watch-FS5380,12995.0,4.4,https://www.amazon.in/Fossil-Analog-Off-White-Dial-Watch-FS5380/dp/B074ZHN54C/ref=sr_1_14?dib=eyJ2IjoiMSJ9.w9qgYTXg1w75xqfyioqEvubX59YX8FAzR0gijvnuSHZ5-Obl-4reT4hfJlf1Kely6OnJaodcWPH8PjsUbLhpmlFjTk5wBxQOo7s23jTaKc-H9KLAJSqePSF4E7awbQdPj4c1EcyKcLw7QDajgDruk5MzPmz3vsj9xFtWm7TsKsu8F8mWwXUPGi9VBpEQI5zBCG-t4qkN5x-nDlB9fzqdbDd4u8YGPEQ2oMa-6dJsWj7wF7JIn8-_7AOWWdXbO4_M0Vmmekh8l0woApnBn90afX2QX8ib6kn8Qh90K49Tza4.ZOEw7drV_Y0VWlSGysZ00H8zP96uc2xk82uO1ab4cxg&dib_tag=se&keywords=fossil+watch&nsdOptOutParam=true&qid=1762184328&sr=8-14,Amazon,2025-11-03 21:09:09
